Technical_skills,tech_or_not
object oriented analysis,1
code versioning tools,1
continuous integration,1
continuous delivery development processes,1
frameworks,1
analytical reporting,1
conceptual data models,1
standard naming conventions,1
high throughput data access services,1
analyze profile data,1
conceptual logical physical data model designs,1
reporting and analytics solutions,1
physical databases,1
integrations,1
demonstrable experience,1
logical and physical data models,1
modern enterprise data architectures,1
data toolsets,1
data warehouse,1
data marts,1
modeling tools,1
profiling tools,1
scala programming experience,1
each following distributed technologies,1
standard methodologies,1
similar cloud platform technologies,1
experience building cloud environments,1
excellent unix linux experience and programming experience,1
microservice architecture,1
orchestration,1
kubernetes,1
cloud environments,1
service meshes,1
vault,1
api gateways,1
rest apis servicesexperience writing tools,1
toolingscala programming experienceknowledge,1
experience building cloud environments,1
excellent unix linux experience and programming experience,1
microservice architecture,1
orchestration,1
kubernetes,1
cloud environments,1
service meshes,1
vault,1
api gateways,1
rest apis servicesexperience writing tools,1
toolingscala programming experienceknowledge,1
standard w c web ui apis,1
javastrong programming skills,1
guice knowledge,1
protobuf knowledge,1
consuming service oriented architecture layers,1
highly distributed and scalable systems,1
containers knowledge,1
frameworks,1
responsive design implementation,1
browser performance auditing,1
tuning,1
distributed code repositories,1
excellent analytical and problem solving skills,1
python programming,1
frameworks,1
any rdbms and strong sql knowledge,1
ui frameworks,1
usability design,1
ml ai frameworks,1
docker and container platforms,1
application benchmarking,1
optimization,1
building user interface applications,1
measurement and control algorithms,1
programming user interfaces,1
regulated markets,1
embedded linux systems,1
ip based network protocols,1
linux yocto distribution,1
myntra s new product platforms,1
architectural and design best practices,1
deployment,1
nimble delivery process,1
next generation extensible web,1
mobile and fashion commerce platforms,1
security protocols,1
extensions,1
architectural governance,1
new technology stacks,1
multiple technology domains,1
external technical forums,1
business stakeholders,1
startup e commerce ecosystem,1
high growth matrix environment,1
business and technical perspectives,1
leading product development end end portfolio,1
architectures,1
massively large scale distributed internet systems,1
multi threading and performance oriented programming,1
highly scalable products,1
frameworks,1
object oriented programming,1
fundamentals,1
developing user facing web applications,1
reusable modular code,1
backend services,1
dev tools,1
data modeling skills,1
testing frameworks,1
code versioning tool git,1
deployment,1
standardized it methodology,1
architectural development,1
interdependent technologies,1
computing related technology programs,1
minimum year java design and development experience,1
spring and hibernate based solutions,1
technical expertise,1
statistical programming tasks,1
technical expertise,1
statistical programming department,1
appropriate validation requirements,1
checks programming logs,1
programming specifications datasets,1
biostatistical tools,1
lead programmer,1
project specific macros,1
project macros,1
programming specifications,1
safety outputs,1
contract and budget assumptions,1
adam reviewers guide,1
lead programmer role,1
protocols,1
operational topics,1
master s degree computer science,1
bachelor s degree computer science,1
good organizational interpersonal leadership and communication skills,1
